,pearson correlation coefficient,rxnName,subsystem,p_value
r_3140,-0.10842669618145565,"PI 3-P phosphatase (1-16:0, 2-18:1), Golgi membrane",Inositol phosphate metabolism,0.0022900914576899686
r_2271,-0.10926899587004939,3-hydroxyacyl-CoA dehydrogenase (3-oxobutanoyl-CoA),Fatty acid degradation,0.002114828414507633
r_2254,-0.1092689958700502,2-enoyl-CoA hydratase (3-hydroxybutanoyl-CoA),Fatty acid degradation,0.002114828414507492
r_3178,-0.10937593314001451,"PI 3,5-P2 phosphatase (1-18:0, 2-16:1), cell envelope",Inositol phosphate metabolism,0.002093478050283665
r_3114,-0.10937593314001451,"PI 3-P phosphatase (1-18:0, 2-16:1), cell envelope",Inositol phosphate metabolism,0.002093478050283665
r_2485,-0.10976408685599316,"PS decarboxylase (1-16:1, 2-18:1), vacuolar membrane",Glycerophospholipid metabolism,0.0020176292941977126
r_2340,-0.11409648757826925,"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:0, 2-18:1), lipid particle",Glycerolipid metabolism,0.0013260553028876544
r_3079,-0.11411586072631981,"LPI phospholipase B (16:1), cell envelope",Glycerophospholipid metabolism,0.0013235261203803706
r_2265,-0.11512472777073461,2-enoyl-CoA hydratase (3-hydroxy-cis-tetradec-5-enoyl-CoA),Fatty acid degradation,0.0011977954258291811
r_2282,-0.11512472777073461,3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-tetradec-5-enoyl-CoA),Fatty acid degradation,0.0011977954258291811
r_3071,-0.11637556820607525,"PI phospholipase B (1-16:1, 2-16:1), cell envelope",Glycerophospholipid metabolism,0.0010572155024069583
r_2435,-0.11685746822354745,"CDP-diacylglycerol synthase (1-18:1, 2-16:1), ER membrane",Glycerophospholipid metabolism,0.0010072456365795178
r_0736,-0.11883775507528345,mevalonate kinase (ctp),Terpenoid backbone biosynthesis,0.000823961800771955
r_0528,-0.11898280881191495,guanylate kinase,Purine metabolism,0.0008118316783249219
r_3070,-0.11906011393930999,"PI phospholipase B (1-16:0, 2-16:1), cell envelope",Glycerophospholipid metabolism,0.0008054347954742233
r_0111,-0.1194750470217216,acetyl-CoA hydrolase,Pyruvate metabolism,0.0007718902597162298
r_0967,-0.11980339827843188,riboflavin synthase,Riboflavin metabolism,0.0007462679041418616
r_3169,-0.12007935966285399,"PI 4-P phosphatase (1-16:1, 2-16:1), Golgi membrane",Inositol phosphate metabolism,0.0007253458369718904
r_0076,-0.12055732769886497,5'-nucleotidase (CMP),Nicotinate and nicotinamide metabolism,0.0006903904844225328
r_3142,-0.12129315905698697,"PI 3-P phosphatase (1-18:0, 2-18:1), Golgi membrane",Inositol phosphate metabolism,0.0006396194862367703
r_0761,-0.12190488025606988,N-acteylglutamate synthase,Arginine biosynthesis,0.0006000740937987423
r_2255,-0.12194990188750428,2-enoyl-CoA hydratase (3-hydroxyhexanoyl-CoA),Fatty acid degradation,0.0005972552597117061
r_2272,-0.12194990188750457,3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA),Fatty acid degradation,0.0005972552597116361
r_0124,-0.12510081506943801,acyl-CoA oxidase (octadecanoyl-CoA),Fatty acid degradation,0.0004279012498728738
r_0718,-0.12605757843446486,malic enzyme (NAD),Pyruvate metabolism,0.000386104923155276
r_0804,-0.12645391436351033,nucleoside triphosphatase,Purine metabolism,0.00036993305427327367
r_1175,-0.12682466442538043,GTP/GDP translocase,"Transport [c, m]",0.0003553793959738695
r_0121,-0.12708065811012548,acyl-CoA oxidase (dodecanoyl-CoA),Fatty acid degradation,0.00034564429554398185
r_2298,-0.1276418288401856,"delta3,delta2-enoyl-CoA isomerase (cis-dodec-3-enoyl-CoA)",Fatty acid degradation,0.0003251682623353699
r_0120,-0.12765303559210428,acyl-CoA oxidase (decanoyl-CoA),Fatty acid degradation,0.0003247711343142636
r_2273,-0.12788480943590205,3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA),Fatty acid degradation,0.0003166587730001402
r_2256,-0.12788480943590205,2-enoyl-CoA hydratase (3-hydroxyoctanoyl-CoA),Fatty acid degradation,0.0003166587730001402
r_2321,-0.12832207784433064,"dihydroxyacetone phosphate acyltransferase (16:1), lipid particle",Glycerolipid metabolism,0.0003018669514339895
r_0526,-0.12845421311583566,guanine deaminase,Purine metabolism,0.00029752578672356204
r_2258,-0.12901894089924432,2-enoyl-CoA hydratase (3-hydroxydocosanoyl-CoA),Fatty acid degradation,0.0002796217279096673
r_2275,-0.12901894089924598,3-hydroxyacyl-CoA dehydrogenase (3-oxodocosanoyl-CoA),Fatty acid degradation,0.000279621727909632
r_3428,-0.12928024891756554,"IPC synthase (PI (1-16:0, 2-16:1) ceramide-1 (C24))",Sphingoglycolipid metabolism,0.00027168287031008705
r_2248,-0.12970350056285762,2-enoyl-CoA hydratase (3-hydroxydecanoyl-CoA),Fatty acid degradation,0.0002592698738992882
r_2266,-0.12970350056285762,3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA),Fatty acid degradation,0.0002592698738992882
r_2471,-0.1297692682918425,"PS decarboxylase (1-18:1, 2-18:1), mitochondrial membrane",Glycerophospholipid metabolism,0.000257389385897241
r_0233,-0.13065781178210134,C-22 sterol desaturase (NADP),Steroid biosynthesis,0.00023320296439636743
r_2458,-0.13096309978242343,"PI synthase (1-16:0, 2-18:1), ER membrane",Inositol phosphate metabolism,0.0002253964450966767
r_3825,-0.13402543307566184,"phosphatidylethanolamine (1-16:0, 2-18:1) transport, Golgi membrane-ER membrane","Transport [erm, gm]",0.0001595344535656585
r_4266,-0.13422781920074986,Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Hydroxylaminopurine sensitivity protein 1) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase),Purine metabolism,0.0001558912681957533
r_2484,-0.13634752547848555,"PS decarboxylase (1-16:0, 2-18:1), vacuolar membrane",Glycerophospholipid metabolism,0.00012215120148334298
r_2274,-0.136782455395275,3-hydroxyacyl-CoA dehydrogenase (3-oxoicosanoyl-CoA),Fatty acid degradation,0.00011613754498991306
r_2257,-0.136782455395275,2-enoyl-CoA hydratase (3-hydroxyicosanoyl-CoA),Fatty acid degradation,0.00011613754498991306
r_3173,-0.13751436201177306,"PI 4-P phosphatase (1-16:1, 2-18:1), Golgi membrane",Inositol phosphate metabolism,0.00010664231846811939
r_3078,-0.13919419128527027,"LPI phospholipase B (16:0), cell envelope",Glycerophospholipid metabolism,8.754098257882862e-05
r_2454,-0.1406861816673993,"PI synthase (1-16:0, 2-16:1), ER membrane",Inositol phosphate metabolism,7.332636932970237e-05
r_3476,-0.14103461764708508,"IPC synthase (PI (1-16:0, 2-16:1) ceramide-3 (C24))",Sphingoglycolipid metabolism,7.033607460388286e-05
r_0301,-0.14128181532733103,"citrate synthase, peroxisomal",Citrate cycle (TCA cycle),6.828484129030447e-05
r_2267,-0.1413286222019566,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),Fatty acid degradation,6.79028569789735e-05
r_2249,-0.1413286222019566,2-enoyl-CoA hydratase (3-hydroxydodecanoyl-CoA),Fatty acid degradation,6.79028569789735e-05
r_2445,-0.14226948864565775,"CDP-diacylglycerol synthase (1-16:1, 2-18:1), mitochondrial membrane",Glycerophospholipid metabolism,6.0639493078681055e-05
r_2228,-0.14647859446370243,fatty acyl-CoA transport via ABC system (C26:0),"Transport [c, p]",3.623969547689542e-05
r_2472,-0.1468042079009651,"PS decarboxylase (1-16:0, 2-16:1), Golgi membrane",Glycerophospholipid metabolism,3.480421315546187e-05
r_2329,-0.14736749623111742,"acyl dhap reductase (16:1), lipid particle",Glycerophospholipid metabolism,3.2447358740755305e-05
r_0274,-0.14764834929722118,choline phosphate cytididyltransferase,Glycerophospholipid metabolism,3.132956981862384e-05
r_2470,-0.15087963576074395,"PS decarboxylase (1-18:0, 2-18:1), mitochondrial membrane",Glycerophospholipid metabolism,2.08353033896334e-05
r_2528,-0.15102756969956904,"cholinephosphotransferase (1-16:0, 2-16:1), ER membrane",Glycerophospholipid metabolism,2.0445684905485067e-05
r_3309,-0.15164902609859593,"MAG lipase (1-16:1), lipid particle",Glycerolipid metabolism,1.8883300161595237e-05
r_2480,-0.15305124081902646,"PS decarboxylase (1-16:0, 2-16:1), vacuolar membrane",Glycerophospholipid metabolism,1.5764540860420778e-05
r_0306,-0.15615139062407274,CTP synthase (glutamine),Pyrimidine metabolism,1.051702089155889e-05
r_2434,-0.15842188352704187,"CDP-diacylglycerol synthase (1-18:0, 2-16:1), ER membrane",Glycerophospholipid metabolism,7.780201461666084e-06
r_2253,-0.15949129425886466,2-enoyl-CoA hydratase (3-hydroxyhexacosanoyl-CoA),Fatty acid degradation,6.740649086593745e-06
r_2270,-0.15949129425897796,3-hydroxyacyl-CoA dehydrogenase (3-oxohexacosanoyl-CoA),Fatty acid degradation,6.740649086491249e-06
r_3138,-0.16077045793082742,"PI 3-P phosphatase (1-18:0, 2-16:1), Golgi membrane",Inositol phosphate metabolism,5.671017944640671e-06
r_0664,-0.16241535119882722,isoleucine transaminase,"Valine, leucine and isoleucine metabolism",4.532191857266207e-06
r_3813,-0.16614578580021727,"phosphatidyl-L-serine (1-16:0, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",2.7035823119133113e-06
r_0568,-0.1663524639331509,inorganic diphosphatase,Oxidative phosphorylation,2.626413206157565e-06
r_2467,-0.1667035711582143,"PS decarboxylase (1-18:1, 2-16:1), mitochondrial membrane",Glycerophospholipid metabolism,2.50013072430431e-06
r_2259,-0.17097117128392206,2-enoyl-CoA hydratase (3-hydroxytetracosanoyl-CoA),Fatty acid degradation,1.3623911070810898e-06
r_2276,-0.17097117128392214,3-hydroxyacyl-CoA dehydrogenase (3-oxotetracosanoyl-CoA),Fatty acid degradation,1.3623911070810125e-06
r_0314,-0.17369475577551016,cytidine deaminase,Pyrimidine metabolism,9.17478100323582e-07
r_2466,-0.17712421952379648,"PS decarboxylase (1-18:0, 2-16:1), mitochondrial membrane",Glycerophospholipid metabolism,5.527898445516973e-07
r_2325,-0.18042200614282294,"acyl dhap reductase (16:1), ER membrane",Glycerophospholipid metabolism,3.364578103062853e-07
r_2517,-0.18419692548043098,"DAG kinase (1-16:1, 2-18:1), ER membrane",Glycerophospholipid metabolism,1.8845806013332964e-07
r_2313,-0.18688839614310263,"dihydroxyacetone phosphate acyltransferase (16:1), ER membrane",Glycerolipid metabolism,1.2374938859085615e-07
r_2324,-0.18702123728748693,"acyl dhap reductase (16:0), ER membrane",Glycerophospholipid metabolism,1.2118750112952545e-07
r_2476,-0.1881880757604688,"PS decarboxylase (1-16:0, 2-18:1), Golgi membrane",Glycerophospholipid metabolism,1.0078024719911331e-07
r_3817,-0.18854979451967496,"phosphatidyl-L-serine (1-16:0, 2-18:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",9.515851579378598e-08
r_0343,-0.19436626506121513,dihydroceramidase,Sphingolipid metabolism,3.723363693140873e-08
r_2269,-0.20177117730180613,3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA),Fatty acid degradation,1.0810340522278856e-08
r_2252,-0.20177117730180757,2-enoyl-CoA hydratase (3-hydroxyoctadecanoyl-CoA),Fatty acid degradation,1.0810340522276321e-08
r_2317,-0.20186016113292649,"glycerol-3-phosphate acyltransferase (16:1), lipid particle",Glycerolipid metabolism,1.064779674189279e-08
r_0175,-0.2058232194250379,"aldehyde dehydrogenase (acetylaldehyde, NADP)",Pyruvate metabolism,5.385018828594399e-09
r_0547,-0.20785245667731367,homoserine dehydrogenase (NADP),"Glycine, serine and threonine metabolism",3.7781592055949085e-09
r_1106,-0.2258281971551867,acetate transport,"Transport [c, e]",1.3959927554026675e-10
r_0447,-0.23245997447822975,formate-tetrahydrofolate ligase,One carbon pool by folate,3.8430472763561006e-11
r_0724,-0.2324599745144862,methenyltetrahydrifikate cyclohydrolase,One carbon pool by folate,3.843047248835661e-11
r_0733,-0.2324599745144862,methylenetetrahydrofolate dehydrogenase (NADP),One carbon pool by folate,3.843047248835661e-11
r_0489,-0.242497057831589,glycerol-3-phosphatase,Glycerolipid metabolism,5.054334926720602e-12
r_2126,-0.2494887835623066,sedoheptulose bisphosphatase,Glycolysis / gluconeogenesis,1.1643152176014475e-12
r_0165,-0.25508572757208425,mitochondrial alcohol dehydrogenase,Glycolysis / gluconeogenesis,3.478217519997683e-13
r_2437,-0.27244909766802683,"CDP-diacylglycerol synthase (1-16:1, 2-18:1), ER membrane",Glycerophospholipid metabolism,6.778941965991696e-15
r_2116,-0.27866862968970757,acetaldehyde dehydrogenase,Glycolysis / gluconeogenesis,1.5408011501220943e-15
r_0737,-0.28603182042831726,mevalonate kinase (gtp),Terpenoid backbone biosynthesis,2.53867836445884e-16
r_0217,-0.28821230297558986,aspartate transaminase,"Alanine, aspartate and glutamate metabolism",1.4729777500567497e-16
r_1073,-0.3053039009340988,UMP kinase,Pyrimidine metabolism,1.748594545299385e-18
r_2453,-0.3203746807681921,"PS synthase (1-18:1, 2-18:1), ER membrane",Glycerophospholipid metabolism,2.728234647502707e-20
r_2499,-0.32187929063222087,"phosphatidyl-N-methylethanolamine methyltransferase (1-18:1, 2-16:1), ER membrane",Glycerophospholipid metabolism,1.777310571611224e-20
r_2507,-0.3218792906322242,"phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-18:1, 2-16:1), ER membrane",Glycerophospholipid metabolism,1.7773105716093928e-20
r_2491,-0.3218792906322264,"PE methyltransferase (1-18:1, 2-16:1), ER membrane",Glycerophospholipid metabolism,1.7773105716081677e-20
r_2452,-0.3274921013739921,"PS synthase (1-18:0, 2-18:1), ER membrane",Glycerophospholipid metabolism,3.516739409455972e-21
r_2469,-0.33204746028709187,"PS decarboxylase (1-16:1, 2-18:1), mitochondrial membrane",Glycerophospholipid metabolism,9.20826518827448e-22
r_2448,-0.3493269341445491,"PS synthase (1-18:0, 2-16:1), ER membrane",Glycerophospholipid metabolism,4.635496041597422e-24
r_2449,-0.3539272612850892,"PS synthase (1-18:1, 2-16:1), ER membrane",Glycerophospholipid metabolism,1.0706290758227931e-24
r_2312,-0.369937130549372,"dihydroxyacetone phosphate acyltransferase (16:0), ER membrane",Glycerolipid metabolism,5.3894172389920924e-27
r_0504,-0.37091252804470753,glycine-cleavage complex (lipoamide),"Glycine, serine and threonine metabolism",3.866215979701171e-27
r_0509,-0.37091252804470753,glycine-cleavage system (lipoamide),"Glycine, serine and threonine metabolism",3.866215979701171e-27
r_2503,-0.3778846007877202,"phosphatidyl-N-methylethanolamine methyltransferase (1-18:1, 2-18:1), ER membrane",Glycerophospholipid metabolism,3.4808576841325657e-28
r_2511,-0.377884600787721,"phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-18:1, 2-18:1), ER membrane",Glycerophospholipid metabolism,3.4808576841315765e-28
r_2495,-0.3778846007877369,"PE methyltransferase (1-18:1, 2-18:1), ER membrane",Glycerophospholipid metabolism,3.4808576841122355e-28
r_2509,-0.3800099847468975,"phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-16:1, 2-18:1), ER membrane",Glycerophospholipid metabolism,1.651398876548171e-28
r_2501,-0.3800099847469008,"phosphatidyl-N-methylethanolamine methyltransferase (1-16:1, 2-18:1), ER membrane",Glycerophospholipid metabolism,1.6513988765462702e-28
r_2493,-0.380009984746903,"PE methyltransferase (1-16:1, 2-18:1), ER membrane",Glycerophospholipid metabolism,1.6513988765449559e-28
r_2494,-0.4268539799657473,"PE methyltransferase (1-18:0, 2-18:1), ER membrane",Glycerophospholipid metabolism,2.7979016534467293e-36
r_2502,-0.42685397996575797,"phosphatidyl-N-methylethanolamine methyltransferase (1-18:0, 2-18:1), ER membrane",Glycerophospholipid metabolism,2.7979016534342445e-36
r_2510,-0.4268539799657645,"phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-18:0, 2-18:1), ER membrane",Glycerophospholipid metabolism,2.7979016534272067e-36
r_2490,-0.44358122252806187,"PE methyltransferase (1-18:0, 2-16:1), ER membrane",Glycerophospholipid metabolism,2.2926836826955782e-39
r_2506,-0.44358122252806487,"phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-18:0, 2-16:1), ER membrane",Glycerophospholipid metabolism,2.292683682692548e-39
r_2498,-0.44358122252806664,"phosphatidyl-N-methylethanolamine methyltransferase (1-18:0, 2-16:1), ER membrane",Glycerophospholipid metabolism,2.2926836826905932e-39
r_2505,-0.4736475575298501,"phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-16:1, 2-16:1), ER membrane",Glycerophospholipid metabolism,2.3000028550163883e-45
r_2489,-0.47364755752985016,"PE methyltransferase (1-16:1, 2-16:1), ER membrane",Glycerophospholipid metabolism,2.3000028550163883e-45
r_2497,-0.4736475575298509,"phosphatidyl-N-methylethanolamine methyltransferase (1-16:1, 2-16:1), ER membrane",Glycerophospholipid metabolism,2.3000028550157346e-45
r_2451,-0.4818585309031228,"PS synthase (1-16:1, 2-18:1), ER membrane",Glycerophospholipid metabolism,4.1397508154078174e-47
r_0506,-0.5651075942473001,glycine-cleavage complex (lipoylprotein),"Glycine, serine and threonine metabolism",9.055409836320044e-68
r_0508,-0.5651075942473001,glycine-cleavage complex (lipoylprotein),"Glycine, serine and threonine metabolism",9.055409836320044e-68
r_0507,-0.5651075942473001,glycine-cleavage complex (lipoylprotein),"Glycine, serine and threonine metabolism",9.055409836320044e-68
r_0887,-0.5654940623645023,phosphofructokinase (s7p),Glycolysis / gluconeogenesis,7.028672842073691e-68
r_0738,-0.5781941436042888,mevalonate kinase (UTP),Terpenoid backbone biosynthesis,1.4079595156731217e-71
r_4049,,RNA pseudoreaction,Growth,
r_2288,,acetyl-CoA C-acyltransferase (docosanoyl-CoA),Fatty acid degradation,0.16121054051456365
r_3283,,"TAG lipase (1-16:0, 2-18:1, 3-18:1), lipid particle",Glycerolipid metabolism,0.9206407092122473
r_0119,,acyl carrier protein synthase,Pantothenate and coa biosynthesis,0.7701606724385679
r_4481,,Hydrogen sulfide oxidation,Sulfur metabolism,
r_3133,,"PI 3-P phosphatase (1-16:1, 2-18:1), ER membrane",Inositol phosphate metabolism,0.6248949824573857
r_3022,,"PC phospholipase B (1-16:0, 2-16:1), ER membrane",Glycerophospholipid metabolism,0.5349694609078044
r_1757,,ergosterol exchange,Exchange reaction,
r_2518,,"DAG kinase (1-18:0, 2-18:1), ER membrane",Glycerophospholipid metabolism,0.09685485324291873
r_3846,,"phosphatidyl-L-serine (1-16:1, 2-16:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
r_0563,,Imidazole-glycerol-3-phosphate synthase,Histidine metabolism,0.9129666004587851
r_2096,,water diffusion,"Transport [c, m]",
r_3656,,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:0, 2-16:1) transport, vacuolar membrane-cytoplasm","Transport [c, vm]",
r_1826,,H+ diffusion,"Transport [c, g]",
r_4011,,"triglyceride (1-18:0, 2-18:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
r_3659,,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:1, 2-18:1) transport, vacuolar membrane-cytoplasm","Transport [c, vm]",
r_0012,,1-pyrroline-5-carboxylate dehydrogenase,"Alanine, aspartate and glutamate metabolism",0.15415072155809184
r_3677,,"diglyceride (1-16:1, 2-18:1) transport, mitochondrial membrane-cytoplasm","Transport [c, mm]",
r_2848,,"phosphatidylinositol 4-kinase (1-16:0, 2-18:1), nucleus",Inositol phosphate metabolism,0.4991584381538569
r_3747,,"1-acylglycerophosphocholine (16:0) transport, ER membrane-lipid particle","Transport [erm, lp]",
r_2545,,"PGP phosphatase (1-18:1, 2-16:1), mitochondrial membrane",Glycerophospholipid metabolism,0.9104524457844002
r_1825,,H+ diffusion,"Transport [c, er]",
r_3927,,"zymosteryl palmitoleate transport, ER membrane-cell envelope","Transport [ce, erm]",
r_3999,,"phosphatidylethanolamine (1-18:0, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
r_3337,,"PA kinase (1-16:1, 2-18:1), Golgi membrane",Glycerolipid metabolism,
r_3186,,"PI 3,5-P2 phosphatase (1-18:0, 2-16:1), cytoplasm",Inositol phosphate metabolism,0.152325644737873
r_2185,,decanoate (n-C10:0) transport,"Transport [c, e]",
r_3431,,"IPC synthase (PI (1-18:1, 2-16:1) ceramide-1 (C24))",Sphingoglycolipid metabolism,0.2060287694452755
r_3717,,"episterol transport, ER membrane-lipid particle","Transport [erm, lp]",
r_3721,,"ergosteryl palmitoleate transport, ER membrane-lipid particle","Transport [erm, lp]",
r_1974,,nucleoside-diphosphatase (dGDP),Purine metabolism,
r_1801,,GDP transport,"Transport [c, g]",
r_3120,,"PI 3-P phosphatase (1-16:0, 2-16:1), cytoplasm",Inositol phosphate metabolism,0.08313417690084417
r_3632,,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-16:1) transport, nucleus-cytoplasm","Transport [c, n]",
r_4458,,6-Phospho-D-gluconate transport in/out via proton symport,"Transport [c, e]",
r_3779,,"phosphatidylethanolamine (1-18:0, 2-18:1) transport, mitochondrial membrane-ER membrane","Transport [erm, mm]",
r_0460,,gamma-glutamylcysteine synthetase,Glutathione metabolism,0.5614285593260251
r_3851,,"phosphatidyl-L-serine (1-18:0, 2-18:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
r_1980,,O2 transport,"Transport [c, p]",
r_4156,,Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Peptidase M),Dipeptidases,0.21777815069113313
r_0788,,nucleoside diphosphatase,Purine metabolism,0.6443235858755915
r_3170,,"PI 4-P phosphatase (1-18:0, 2-16:1), Golgi membrane",Inositol phosphate metabolism,0.7171862281186882
r_2061,,sulphite exchange,Exchange reaction,
r_1850,,insosine kinase,Purine metabolism,
r_1753,,episterol exchange,Exchange reaction,
r_1682,,"cholestenol delta-isomerase, lumped reaction",Steroid biosynthesis,
r_0033,,"3',5'-cyclic-nucleotide phosphodiesterase",Purine metabolism,0.934162493648769
r_0167,,"aldehyde dehydrogenase (2-methylbutanol, NAD)",Complex alcohol metabolism,0.890638822643269
r_0717,,malate synthase,Pyruvate metabolism,0.6991347572033704
r_3167,,"PI 4-P phosphatase (1-18:1, 2-18:1), ER membrane",Inositol phosphate metabolism,0.5890312971401209
r_3232,,"DGPP phosphatase (1-16:0, 2-16:1), Golgi membrane",Glycerolipid metabolism,0.6021952799381478
r_3477,,"IPC synthase (PI (1-16:1, 2-16:1) ceramide-3 (C24))",Sphingoglycolipid metabolism,0.435935687285358
r_0358,,"diphosphoinositol-1,3,4,6-tetrakisphosphate synthase",Phosphatidylinositol signaling system,0.7905437594358703
r_3159,,"PI 4-P phosphatase (1-18:1, 2-18:1), cytoplasm",Inositol phosphate metabolism,0.9264805788685967
r_4397,,N-Acyl-Aliphatic-L-Amino Acid Amidohydrolase,Cysteine and methionine metabolism,
r_2479,,"PS decarboxylase (1-18:1, 2-18:1), Golgi membrane",Glycerophospholipid metabolism,0.14816636745309256
r_4463,,AMP transport in/out via proton symport,"Transport [c, e]",
r_3171,,"PI 4-P phosphatase (1-18:1, 2-16:1), Golgi membrane",Inositol phosphate metabolism,0.8868363178428385
r_1749,,dTTP exchange,Exchange reaction,
r_0715,,"malate dehydrogenase, peroxisomal",Citrate cycle (TCA cycle),0.3413261627247393
r_1912,,L-tryptophan exchange,Exchange reaction,
r_1552,,(S)-malate exchange,Exchange reaction,
r_0062,,3-methyl-2-oxobutanoate decarboxylase,Complex alcohol metabolism,0.7092947511795851
r_3172,,"PI 4-P phosphatase (1-16:0, 2-18:1), Golgi membrane",Inositol phosphate metabolism,0.10602750301618735
r_3344,,"PA kinase (1-16:0, 2-18:1), vacuolar membrane",Glycerolipid metabolism,
r_1952,,"N,N'-diformyldityrosine exchange",Exchange reaction,
r_3651,,"ATP transport, cytoplasm-vacuolar membrane","Transport [c, vm]",
r_0093,,"6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",Phosphatidylinositol signaling system,0.57115773176036
r_1913,,L-tyrosine exchange,Exchange reaction,
r_0673,,L-4-hydroxyglutamate semialdehyde dehydrogenase,Arginine and proline metabolism,0.119805263455402
r_3815,,"phosphatidyl-L-serine (1-18:0, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",0.0536861716381071
r_3868,,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-18:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
r_3308,,"MAG lipase (1-16:0), lipid particle",Glycerolipid metabolism,0.3221882897568104
r_4552,,N-acetyl-L-cysteine exchange,Exchange reaction,
r_0789,,nucleoside diphosphatase,Purine metabolism,0.2669118848593051
r_1714,,D-glucose exchange,Exchange reaction,
r_3602,,"ADP transport, cytoplasm-cell envelope","Transport [c, ce]",
r_3284,,"TAG lipase (1-16:1, 2-18:1, 3-16:0), lipid particle",Glycerolipid metabolism,0.3179546620414739
r_3479,,"IPC synthase (PI (1-18:1, 2-16:1) ceramide-3 (C24))",Sphingoglycolipid metabolism,0.5115639002508081
r_3837,,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
r_3634,,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-16:1) transport, nucleus-cytoplasm","Transport [c, n]",
r_2046,,sn-glycero-3-phosphocholine exchange,Exchange reaction,
r_3773,,"phosphatidylethanolamine (1-16:0, 2-16:1) transport, mitochondrial membrane-ER membrane","Transport [erm, mm]",
r_0042,,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,"Phenylalanine, tyrosine and tryptophan biosynthesis",0.6777678697567047
r_3280,,"TAG lipase (1-16:0, 2-18:1, 3-16:0), lipid particle",Glycerolipid metabolism,0.97097640170858
r_0653,,IPS phospholipase C,Sphingolipid metabolism,0.7768760868743532
r_3998,,"phosphatidylethanolamine (1-16:1, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
r_0159,,alcohol acetyltransferase (ethanol),Complex alcohol metabolism,0.1475587146697107
r_3291,,"TAG lipase (1-18:0, 2-18:1, 3-18:1), lipid particle",Glycerolipid metabolism,0.9054893785005077
r_2366,,"PA phosphatase (1-18:1, 2-16:1), Golgi membrane",Glycerolipid metabolism,0.5902344408409907
r_3163,,"PI 4-P phosphatase (1-18:1, 2-16:1), ER membrane",Inositol phosphate metabolism,0.4740406338847493
r_3673,,"diglyceride (1-16:1, 2-16:1) transport, mitochondrial membrane-cytoplasm","Transport [c, mm]",
r_1870,,isobutyraldehyde exchange,Exchange reaction,
r_4608,,propionyl-CoA transport,"Transport [c, m]",
r_3281,,"TAG lipase (1-16:0, 2-18:1, 3-16:1), lipid particle",Glycerolipid metabolism,0.6503813257660876
r_1148,,ergosterol transport,"Transport [c, ce]",0.40866703948848515
r_3925,,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-18:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
r_2416,,"diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-18:0), lipid particle",Glycerolipid metabolism,0.2785939140726525
r_1897,,L-isoleucine exchange,Exchange reaction,
r_2072,,threonine transport,"Transport [c, m]",0.10794719193369605
r_3737,,"phosphatidylcholine (1-18:0, 2-18:1) transport, ER membrane-lipid particle","Transport [erm, lp]",
r_4598,,cofactor pseudoreaction,Growth,
